iter	Logloss
0	0.6892193604
1	0.6852462769
2	0.6815773773
3	0.6775039673
4	0.6735289001
5	0.6700968933
6	0.6667721558
7	0.6631668854
8	0.6602274323
9	0.6568344116
10	0.6537174988
11	0.6506285095
12	0.6480197144
13	0.6449017334
14	0.6419190979
15	0.6387530136
16	0.6359056854
17	0.6329712677
18	0.6299514771
19	0.6268577576
20	0.6241407776
21	0.6213977051
22	0.619599762
23	0.6171274948
24	0.6145508575
25	0.6116580582
26	0.6088637543
27	0.6061695862
28	0.6038209534
29	0.6012820816
30	0.5994301224
31	0.5972600555
32	0.5951343918
33	0.5928334808
34	0.5911651993
35	0.5891704559
36	0.5869497299
37	0.5845496368
38	0.5824686813
39	0.5806341553
40	0.5788783264
41	0.5768632507
42	0.5746741486
43	0.5728091049
44	0.571222496
45	0.5692245483
46	0.5671528625
47	0.5658788681
48	0.5647030258
49	0.5628903961
50	0.5609584045
51	0.558823204
52	0.557327652
53	0.5558571243
54	0.5543162918
55	0.5524458313
56	0.5509208679
57	0.549274826
58	0.5473394012
59	0.5465372849
60	0.5450730133
61	0.5434753036
62	0.5419186401
63	0.5411557007
64	0.5392737579
65	0.5376461792
66	0.5363540649
67	0.5351026535
68	0.5338214111
69	0.5329770279
70	0.5315585709
71	0.5302839661
72	0.5292131424
73	0.5281123352
74	0.5268343353
75	0.5253375244
76	0.5238422394
77	0.523373642
78	0.5220026398
79	0.5211643219
80	0.520112381
81	0.5190300369
82	0.5178100586
83	0.5168761444
84	0.5158670807
85	0.514549675
86	0.5134189606
87	0.512143631
88	0.5113122559
89	0.509932785
90	0.5086763763
91	0.5074645615
92	0.5067765045
93	0.505938797
94	0.5052565002
95	0.5043482971
96	0.5032947922
97	0.5025174713
98	0.5013593292
99	0.4999660492
100	0.498642807
101	0.4973946381
102	0.4963248444
103	0.4956444931
104	0.4945969391
105	0.493759346
106	0.4927619553
107	0.4919498062
108	0.4909813309
109	0.4901581955
110	0.4892796326
111	0.4885347748
112	0.487662735
113	0.4867472076
114	0.4858683014
115	0.4850967407
116	0.4841764832
117	0.4834703445
118	0.4826870728
119	0.4817565918
120	0.4809578705
121	0.480120163
122	0.4790879059
123	0.478377533
124	0.477483139
125	0.4769365692
126	0.4762443542
127	0.4755467987
128	0.4748209
129	0.4736897659
130	0.4729456329
131	0.4721710587
132	0.4714377594
133	0.4703518677
134	0.4698420715
135	0.4692269516
136	0.4685645294
137	0.4677936554
138	0.4671405029
139	0.4670072937
140	0.4662674332
141	0.4654437256
142	0.4648691559
143	0.4642045212
144	0.463265152
145	0.4625347137
146	0.4620480347
147	0.4614089966
148	0.4608927917
149	0.4603554153
150	0.4595558929
151	0.4587935257
152	0.4582543945
153	0.457638092
154	0.4567857361
155	0.4561374664
156	0.4553054047
157	0.4546812439
158	0.4540463257
159	0.4534272766
160	0.4525494385
161	0.4518371582
162	0.4512062073
163	0.4505376434
164	0.4499081421
165	0.4491452026
166	0.448690567
167	0.4479307556
168	0.4474411011
169	0.4469114304
170	0.4463497162
171	0.4460061646
172	0.4454934311
173	0.4450075531
174	0.4443271637
175	0.443738327
176	0.4431447601
177	0.442650528
178	0.4422600555
179	0.4418391037
180	0.4412725067
181	0.4407564163
182	0.4399486542
183	0.4393072128
184	0.4387521362
185	0.4382363892
186	0.437700119
187	0.4373157501
188	0.4369696808
189	0.4366227722
190	0.4359520721
191	0.4353604126
192	0.4348046875
193	0.4343144989
194	0.4336461639
195	0.4332023621
196	0.4327453613
197	0.432309227
198	0.4316810608
199	0.4310994339
200	0.4306896591
201	0.4300610352
202	0.4297370148
203	0.4292776871
204	0.4289342499
205	0.4282098389
206	0.4279471207
207	0.4274041748
208	0.4268406296
209	0.4264760971
210	0.4259664917
211	0.4255167007
212	0.4253398514
213	0.4249069214
214	0.4243753052
215	0.4238735199
216	0.4234631348
217	0.4233197784
218	0.4228833389
219	0.4223722458
220	0.4218856049
221	0.42140625
222	0.4208689117
223	0.420436554
224	0.4201622391
225	0.4195906448
226	0.4193481445
227	0.4188265228
228	0.4183120346
229	0.4177381897
230	0.4172114182
231	0.4167958069
232	0.4164118195
233	0.4159218597
234	0.4155522156
235	0.4150844574
236	0.4145858765
237	0.4142646027
238	0.4137347794
239	0.4134407806
240	0.412891922
241	0.4126098633
242	0.4122441483
243	0.4119213867
244	0.4115789032
245	0.411231575
246	0.4108941269
247	0.4106772995
248	0.4102626038
249	0.4098212433
250	0.4095340347
251	0.4090961075
252	0.4085468292
253	0.4081214142
254	0.4077142715
255	0.4073201752
256	0.4069285583
257	0.4065351868
258	0.4062724304
259	0.4059586334
260	0.4057262039
261	0.405437088
262	0.4053422546
263	0.4050313568
264	0.4047357941
265	0.4044112778
266	0.4039573669
267	0.4036286926
268	0.4032225037
269	0.4029585266
270	0.4026203156
271	0.4022045135
272	0.4017726898
273	0.4014451218
274	0.4010017776
275	0.4007064819
276	0.4003735733
277	0.3999844742
278	0.3997264099
279	0.3992844009
280	0.3987031174
281	0.3984055328
282	0.398073349
283	0.3976348495
284	0.3973929596
285	0.3971446228
286	0.3966687012
287	0.3963808823
288	0.3959849548
289	0.3956537247
290	0.3952713013
291	0.3948440552
292	0.39454216
293	0.3941329575
294	0.3936908722
295	0.3933635712
296	0.3928791809
297	0.3925846863
298	0.3922546005
299	0.3919261551
300	0.3915911102
301	0.3913692474
302	0.390977211
303	0.3906950378
304	0.3902910614
305	0.3899391174
306	0.3895878601
307	0.3889812469
308	0.388643074
309	0.3882594299
310	0.3879311371
311	0.3877335358
312	0.3873588562
313	0.3870358276
314	0.3866959381
315	0.386411705
316	0.386078186
317	0.3855461884
318	0.3852220917
319	0.3848892212
320	0.3846455765
321	0.3842671967
322	0.3839632034
323	0.3834259796
324	0.3833002472
325	0.3830335617
326	0.3827693939
327	0.3823522949
328	0.3820573044
329	0.3816798401
330	0.381469574
331	0.3811225891
332	0.3807967758
333	0.3804940033
334	0.3801686096
335	0.3799773407
336	0.3796243286
337	0.3791815186
338	0.3788895798
339	0.3784259033
340	0.3780527115
341	0.3776556778
342	0.3773783875
343	0.3771422577
344	0.376907959
345	0.3765201569
346	0.3762814331
347	0.3760123444
348	0.3757540131
349	0.3754929733
350	0.375278511
351	0.374962616
352	0.3747090149
353	0.3743921661
354	0.3741907501
355	0.3737662506
356	0.3734911346
357	0.3732007599
358	0.3729653549
359	0.3727790451
360	0.372579155
361	0.3722839355
362	0.3722708511
363	0.3721618652
364	0.3719201279
365	0.371689949
366	0.3712368011
367	0.3710313416
368	0.3706565094
369	0.3704872894
370	0.3700812149
371	0.3698779678
372	0.3694269562
373	0.3691957092
374	0.3688741302
375	0.3685600281
376	0.3682157135
377	0.3679154205
378	0.3676133728
379	0.3672667694
380	0.3671526718
381	0.3669435883
